,norms_zone_id,2050,sector_id
38544,804,14307.054606719566,21.0
38545,804,9047.927755238661,21.0
38546,804,27820.426609034912,21.0
38688,807,7541.891710471174,19.0
38689,807,7158.264859182943,19.0
38690,807,17864.008317981523,19.0
40272,840,744.2245692654606,3.0
40273,840,546.8712387580886,3.0
40274,840,1162.8910205604227,3.0
40464,844,2138.942396411398,3.0
40465,844,1661.6955559890398,3.0
40466,844,3787.991436382659,3.0
40560,846,1475.9665032173039,3.0
40561,846,1195.208653044314,3.0
40562,846,3733.754236701124,3.0
40656,848,1147.903357352906,3.0
40657,848,748.6539156814922,3.0
40658,848,1705.8992834002606,3.0
40944,854,3777.0894649155857,3.0
40945,854,2638.004705647066,3.0
40946,854,6302.685225099573,3.0
42576,888,8219.004833434079,21.0
42577,888,6550.053551489898,21.0
42578,888,13895.30948326945,21.0
42672,890,601.9805757208145,19.0
42673,890,409.22314225126746,19.0
42674,890,1285.8110610853698,19.0
42720,891,3790.660810087583,19.0
42721,891,2728.134956010442,19.0
42722,891,6359.594261341218,19.0
42912,895,26852.227560918287,19.0
42913,895,12685.100743047084,19.0
42914,895,41107.81902903697,19.0
46848,977,5060.592554089785,20.0
46849,977,4141.739045386637,20.0
46850,977,11103.367814929676,20.0
47232,985,1847.2303554208866,20.0
47233,985,1214.129762316101,20.0
47234,985,4258.103510492078,20.0
48096,1003,4523.961587678384,21.0
48097,1003,3776.6271188845085,21.0
48098,1003,9430.94587399626,21.0
48240,1006,6857.737922739608,21.0
48241,1006,5362.194643559639,21.0
48242,1006,10851.872161037585,21.0
48288,1007,4659.380902953664,8.0
48289,1007,3634.624654208709,8.0
48290,1007,10216.94712266376,8.0
48816,1018,1627.8673312143396,3.0
48817,1018,1219.3434340146573,3.0
48818,1018,3093.2842753437453,3.0
48864,1019,1643.7305595346925,3.0
48865,1019,1069.8395315664814,3.0
48866,1019,2478.011936774474,3.0
48912,1020,2298.141793678925,3.0
48913,1020,1673.5012415422984,3.0
48914,1020,5056.689727190989,3.0
49728,1037,742.9418755910169,5.0
49729,1037,476.38978107560047,5.0
49730,1037,1092.1687555548083,5.0
49872,1040,17140.283750256756,1.0
49873,1040,20811.925471133756,1.0
49874,1040,27855.992196165844,1.0
50496,1053,20287.48903312619,2.0
50497,1053,11638.124995771163,2.0
50498,1053,24625.726870210532,2.0
52656,1160,177567.55885112507,24.0
52657,1160,164513.0675519339,24.0
52658,1160,281418.59638996987,24.0
53088,1169,60678.875911173556,27.0
53089,1169,43907.93863398509,27.0
53090,1169,74968.56713506894,27.0
53328,1174,101712.322543621,22.0
53329,1174,82566.82795154271,22.0
53330,1174,127850.6204162803,22.0
53376,1175,9245.358335609902,22.0
53377,1175,7873.428628912467,22.0
53378,1175,20581.204317843905,22.0
53424,1176,50054.74830811777,22.0
53425,1176,40043.23362767931,22.0
53426,1176,79806.2103035728,22.0
53472,1177,39946.400004286246,22.0
53473,1177,26608.04943448906,22.0
53474,1177,46050.0267236296,22.0
53520,1178,1746.066766491445,24.0
53521,1178,1338.1032763186906,24.0
53522,1178,3324.4517648085266,24.0
53568,1179,112980.73962325563,27.0
53569,1179,77720.56760193493,27.0
53570,1179,171083.97202804423,27.0
53808,1184,71540.01080852127,34.0
53809,1184,49960.7924938278,34.0
53810,1184,147459.42366850656,34.0
53856,1185,36900.26046608256,34.0
53857,1185,32104.044364566427,34.0
53858,1185,69403.82860469774,34.0
55680,1223,163269.58209553082,24.0
55681,1223,131500.3673475109,24.0
55682,1223,248644.91709082996,24.0
55728,1224,54387.350836220015,38.0
55729,1224,43530.06250195244,38.0
55730,1224,89193.31751993191,38.0
55920,1228,1367536.7676862674,23.0
55921,1228,1058382.7158747448,23.0
55922,1228,981613.2654978214,23.0
56016,1230,151819.63014073015,29.0
56017,1230,96697.58500157367,29.0
56018,1230,168326.73923329433,29.0
56112,1232,140366.31588383834,34.0
56113,1232,89618.73092427892,34.0
56114,1232,148535.79811860493,34.0
56160,1233,136258.5863754935,29.0
56161,1233,90781.41315537461,29.0
56162,1233,132585.16330900555,29.0
57504,1261,41797.758671628864,
57505,1261,39125.0147121245,
57506,1261,82420.92171979506,
57600,1263,32820.17734456347,
57601,1263,30903.2018268966,
57602,1263,56660.52572660071,
58752,1287,35088.74705892619,
58753,1287,28616.719731004137,
58754,1287,65552.78656988661,
